model,run,seed,epochs_trained,best_epoch,best_f1_score,best_train_loss,best_val_loss,final_f1_score,final_train_loss,final_val_loss,total_training_time_seconds,total_training_time_formatted
roberta-base,1,42,4,4,0.6649633179759412,0.3314544686744379,0.4584104797492425,0.6649633179759412,0.3314544686744379,0.4584104797492425,279.8390884399414,0:04:40
roberta-base,2,43,4,4,0.6526734643814933,0.3179932706231295,0.492149505764246,0.6526734643814933,0.3179932706231295,0.492149505764246,282.913102388382,0:04:43
roberta-base,3,44,4,4,0.6734008007777077,0.3497038422975429,0.44729200253884,0.6734008007777077,0.3497038422975429,0.44729200253884,282.31805062294006,0:04:42
roberta-base,4,45,4,4,0.6709669365974227,0.3287729619200839,0.4722474204997222,0.6709669365974227,0.3287729619200839,0.4722474204997222,283.8204481601715,0:04:44
roberta-base,5,46,4,4,0.6726879146006639,0.3298989373237587,0.5004514592389265,0.6726879146006639,0.3298989373237587,0.5004514592389265,284.6451072692871,0:04:45
roberta-base,6,47,4,4,0.656501035408593,0.3194968126021152,0.4608449985583623,0.656501035408593,0.3194968126021152,0.4608449985583623,285.1188471317291,0:04:45
roberta-base,7,48,4,4,0.6741017486121385,0.3244559995310251,0.4780893729378779,0.6741017486121385,0.3244559995310251,0.4780893729378779,284.5357780456543,0:04:45
roberta-base,8,49,4,4,0.6543069498369545,0.3211171618381211,0.4527508032818635,0.6543069498369545,0.3211171618381211,0.4527508032818635,283.73872232437134,0:04:44
roberta-base,9,50,4,4,0.6498507467066083,0.2997505039323208,0.5293464387456576,0.6498507467066083,0.2997505039323208,0.5293464387456576,282.080114364624,0:04:42
roberta-base,10,51,4,4,0.6591931491235374,0.3174451301957285,0.4674310063322385,0.6591931491235374,0.3174451301957285,0.4674310063322385,285.39981031417847,0:04:45
roberta-base,11,52,4,4,0.6841197175765293,0.3189915631746137,0.4910439352194468,0.6841197175765293,0.3189915631746137,0.4910439352194468,281.3976001739502,0:04:41
roberta-base,12,53,4,4,0.6477149290852593,0.3206015395563702,0.4858943286041419,0.6477149290852593,0.3206015395563702,0.4858943286041419,283.67192482948303,0:04:44
roberta-base,13,54,4,4,0.6273136099034761,0.3135743458257165,0.5223616672058901,0.6273136099034761,0.3135743458257165,0.5223616672058901,281.65851187705994,0:04:42
roberta-base,14,55,4,4,0.6477069441682782,0.310286690675935,0.4859016903986533,0.6477069441682782,0.310286690675935,0.4859016903986533,284.99897050857544,0:04:45
roberta-base,15,56,4,4,0.6417494298512388,0.3029412769300993,0.5069233141839504,0.6417494298512388,0.3029412769300993,0.5069233141839504,286.8379557132721,0:04:47
roberta-base,16,57,4,4,0.618627728424099,0.3099349671325018,0.5151239571472009,0.618627728424099,0.3099349671325018,0.5151239571472009,282.89215183258057,0:04:43
roberta-base,17,58,4,4,0.683615629503398,0.3180270694022954,0.4327557471891244,0.683615629503398,0.3180270694022954,0.4327557471891244,283.78251576423645,0:04:44
roberta-base,18,59,4,4,0.6594636796212456,0.3091649274493372,0.4769395254552364,0.6594636796212456,0.3091649274493372,0.4769395254552364,287.5255033969879,0:04:48
roberta-base,19,60,4,4,0.6805819485076695,0.3144719001165656,0.4541363815466563,0.6805819485076695,0.3144719001165656,0.4541363815466563,283.0909159183502,0:04:43
roberta-base,20,61,4,4,0.6508656603273375,0.3256792630567107,0.5077642872929573,0.6508656603273375,0.3256792630567107,0.5077642872929573,284.00141644477844,0:04:44
roberta-base,21,62,4,4,0.6814882128659834,0.3169996031495027,0.4644252664099137,0.6814882128659834,0.3169996031495027,0.4644252664099137,284.3332028388977,0:04:44
roberta-base,22,63,4,4,0.671598839607511,0.3187375933278438,0.4786458946764469,0.671598839607511,0.3187375933278438,0.4786458946764469,288.0864038467407,0:04:48
roberta-base,23,64,4,4,0.6516057791083698,0.3152312688356222,0.4954621257881323,0.6516057791083698,0.3152312688356222,0.4954621257881323,281.8204996585846,0:04:42
roberta-base,24,65,4,4,0.683627134236081,0.3183665069383244,0.4810540744413932,0.683627134236081,0.3183665069383244,0.4810540744413932,285.15872526168823,0:04:45
roberta-base,25,66,4,4,0.6151947435481594,0.3118041743372762,0.5180184133350849,0.6151947435481594,0.3118041743372762,0.5180184133350849,284.2646350860596,0:04:44
roberta-base,26,67,4,4,0.6684394934193402,0.3205791034324224,0.4621551285187403,0.6684394934193402,0.3205791034324224,0.4621551285187403,283.636123418808,0:04:44
roberta-base,27,68,4,4,0.6822739142248858,0.3284792399337125,0.4358971435576677,0.6822739142248858,0.3284792399337125,0.4358971435576677,283.20257925987244,0:04:43
roberta-base,28,69,4,3,0.6432340443505675,0.3996677563287491,0.5154303200542927,0.6398598697336542,0.3183182904193568,0.5093699619174004,284.61453223228455,0:04:45
roberta-base,29,70,4,4,0.6239869866249873,0.3034953745298607,0.507966381808122,0.6239869866249873,0.3034953745298607,0.507966381808122,284.84727001190186,0:04:45
roberta-base,30,71,4,4,0.678846641737927,0.3109391154937966,0.4574551234642665,0.678846641737927,0.3109391154937966,0.4574551234642665,285.5808882713318,0:04:46
